henvendelse_id,kunde_id,dato,kanal,tekst
H001132,K102271,2024-01-04,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H014492,K128664,2024-01-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011165,K121995,2024-01-04,e-post,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H005293,K110164,2024-01-04,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H005138,K109875,2024-01-04,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H009107,K117805,2024-01-04,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H019938,K139551,2024-01-04,e-post,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H002316,K104505,2024-01-04,telefon,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos Bulder.
H020059,K139781,2024-01-04,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H014126,K127953,2024-01-04,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H001149,K102306,2024-01-04,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H019204,K138120,2024-01-04,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H013248,K126210,2024-01-04,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H005840,K111194,2024-01-04,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H008594,K116822,2024-01-04,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.94 % når nye kunder får bedre betingelser?
H016350,K132353,2024-01-04,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H018857,K137371,2024-01-04,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H004510,K108635,2024-01-04,telefon,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H013637,K127045,2024-01-05,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H010341,K120312,2024-01-05,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H010182,K119989,2024-01-05,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H016431,K132502,2024-01-05,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H006795,K113161,2024-01-05,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med en annen bank."
H017481,K134610,2024-01-05,e-post,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H010218,K120059,2024-01-05,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H012709,K125033,2024-01-05,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H014720,K129122,2024-01-05,telefon,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Handelsbanken."
H000888,K101808,2024-01-05,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H002437,K104741,2024-01-05,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H002270,K104435,2024-01-05,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H003420,K106652,2024-01-05,chat,"Har fått tilbud fra Danske Bank på 5.17 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H003637,K107066,2024-01-05,e-post,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H017498,K134636,2024-01-05,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H008715,K117085,2024-01-05,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H015365,K130388,2024-01-05,telefon,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med DNB."
H013296,K126299,2024-01-05,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.1 % når nye kunder får bedre betingelser?
H003068,K105979,2024-01-05,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H004165,K108005,2024-01-05,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H004528,K108663,2024-01-05,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011856,K123329,2024-01-05,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H004843,K109322,2024-01-06,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H000528,K101140,2024-01-06,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H003951,K107646,2024-01-06,telefon,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.94 % når nye kunder får bedre betingelser?
H017772,K135197,2024-01-06,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.99 % når nye kunder får bedre betingelser?
H015242,K130182,2024-01-06,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H018243,K136086,2024-01-06,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H015812,K131288,2024-01-06,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H010352,K120316,2024-01-06,chat,"Hei, jeg vurderer å flytte boliglånet mitt. DNB tilbyr 5.17 % – kan dere matche det?"
H002251,K104385,2024-01-06,e-post,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H006882,K113372,2024-01-06,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H015371,K130408,2024-01-06,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H006901,K113426,2024-01-06,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Danske Bank."
H010262,K120173,2024-01-06,e-post,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H016652,K132951,2024-01-06,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H012382,K124414,2024-01-06,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H007339,K114365,2024-01-06,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H019810,K139301,2024-01-06,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H015392,K130463,2024-01-06,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H005612,K110768,2024-01-06,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H000448,K100967,2024-01-06,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H001811,K103568,2024-01-06,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H009041,K117671,2024-01-06,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H018388,K136382,2024-01-06,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H016608,K132869,2024-01-06,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H014963,K129610,2024-01-06,e-post,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H004522,K108654,2024-01-06,e-post,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H019287,K138303,2024-01-07,telefon,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H006352,K112232,2024-01-07,e-post,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H010577,K120769,2024-01-07,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H005869,K111258,2024-01-07,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H015881,K131422,2024-01-07,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H001241,K102467,2024-01-07,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H003635,K107061,2024-01-07,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H006465,K112509,2024-01-07,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H019404,K138538,2024-01-07,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H005267,K110113,2024-01-07,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H007734,K115093,2024-01-07,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H015174,K130011,2024-01-07,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H011302,K122245,2024-01-07,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H011548,K122726,2024-01-07,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H012973,K125600,2024-01-07,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med en annen bank."
H001389,K102722,2024-01-07,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H014533,K128751,2024-01-07,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H012646,K124901,2024-01-07,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H010727,K121059,2024-01-07,telefon,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.75 % når nye kunder får bedre betingelser?
H015540,K130771,2024-01-07,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos Nordea.
H002662,K105177,2024-01-07,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.95 % når nye kunder får bedre betingelser?
H013438,K126593,2024-01-07,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H005519,K110608,2024-01-07,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H010099,K119817,2024-01-07,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H013085,K125806,2024-01-07,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H005548,K110672,2024-01-07,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H001951,K103833,2024-01-08,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H017625,K134922,2024-01-08,telefon,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos DNB.
H009260,K118097,2024-01-08,telefon,"Har fått tilbud fra Bulder på 4.98 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H008607,K116842,2024-01-08,telefon,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H018569,K136756,2024-01-08,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H008304,K116231,2024-01-08,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011676,K122982,2024-01-08,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H009087,K117780,2024-01-08,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H015247,K130188,2024-01-08,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H004399,K108443,2024-01-08,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H019148,K138008,2024-01-08,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H004800,K109237,2024-01-08,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos en annen bank.
H003292,K106398,2024-01-08,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H003605,K106991,2024-01-08,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H001457,K102861,2024-01-08,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H019133,K137987,2024-01-08,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H004872,K109377,2024-01-08,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H015111,K129893,2024-01-08,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H011490,K122605,2024-01-09,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H015896,K131442,2024-01-09,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H014313,K128270,2024-01-09,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H016479,K132629,2024-01-09,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H019710,K139127,2024-01-09,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H009788,K119203,2024-01-09,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H001025,K102078,2024-01-09,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.81 % når nye kunder får bedre betingelser?
H014424,K128513,2024-01-09,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H002466,K104785,2024-01-09,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.84 % når nye kunder får bedre betingelser?
H006205,K111925,2024-01-09,chat,"Har fått tilbud fra en annen bank på 5.16 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H014243,K128171,2024-01-09,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H001557,K103047,2024-01-09,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H015619,K130920,2024-01-09,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H001148,K102304,2024-01-09,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H011332,K122300,2024-01-09,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H011005,K121674,2024-01-09,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H004002,K107738,2024-01-09,e-post,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H004144,K107976,2024-01-09,e-post,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos DNB.
H002583,K105024,2024-01-09,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H001153,K102310,2024-01-09,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H012849,K125348,2024-01-09,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H017844,K135326,2024-01-09,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H002108,K104124,2024-01-09,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H006967,K113567,2024-01-09,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H017047,K133748,2024-01-09,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H005337,K110242,2024-01-09,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H018655,K136969,2024-01-09,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H007118,K113907,2024-01-09,e-post,"Har fått tilbud fra en annen bank på 4.95 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H018375,K136350,2024-01-09,e-post,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H001704,K103359,2024-01-10,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H004541,K108695,2024-01-10,e-post,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H001665,K103286,2024-01-10,telefon,"Har fått tilbud fra Bulder på 5.22 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H009378,K118352,2024-01-10,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H008779,K117202,2024-01-10,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.06 % når nye kunder får bedre betingelser?
H013569,K126891,2024-01-10,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H016510,K132692,2024-01-10,chat,"Har fått tilbud fra DNB på 5.14 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H006119,K111754,2024-01-10,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H012948,K125544,2024-01-10,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H006711,K113001,2024-01-10,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H012471,K124577,2024-01-10,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H006182,K111885,2024-01-10,e-post,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Danske Bank."
H005594,K110731,2024-01-10,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos Nordea.
H019776,K139232,2024-01-10,e-post,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med en annen bank."
H013768,K127288,2024-01-10,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H017034,K133715,2024-01-10,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H016786,K133206,2024-01-10,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H017652,K134986,2024-01-10,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H016103,K131837,2024-01-10,chat,"Hei, jeg vurderer å flytte boliglånet mitt. Bulder tilbyr 5.32 % – kan dere matche det?"
H016126,K131879,2024-01-10,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H011812,K123245,2024-01-10,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H015772,K131242,2024-01-11,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H003336,K106504,2024-01-11,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
